,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,recentness,score
84,+,Dermot Diamond,"Professor of Sensor Science, Dublin City University",dcu.ie,5513.0,id_zIHEmXMAAAAJ,272.0,13.0,26.0,20.0,0.012561917541310471,0.6652840195948629,33.89229685680867
85,+,Shrikanth (Shri) Narayanan,"Andrew J Viterbi Professor of Engineering, University of Southern California",sipi.usc.edu,7358.0,id_8EDHmYkAAAAJ,270.0,18.0,45.0,29.0,0.020786654632274287,0.6519966370978421,33.63916458650581
86,+,Asantha Cooray,"University of California, Irvine",uci.edu,7490.0,id_JdPtbhEAAAAJ,270.0,28.0,89.0,43.0,0.025548515103133,0.6915966370978421,35.857257610048755
87,+,&#1589;&#1604;&#1575;&#1581; &#1575;&#1576;&#1608; &#1575;&#1587;&#1593;&#1583;,"instructuer of math, kfu",kfu.edu.sa,22273.0,id_VduYF-UAAAAJ,269.0,29.0,85.0,51.0,0.027235957062294026,0.6519529458493314,33.95944514558127
88,+,Philip S. Yu,"Professor of Computer Science, University of Illinons at Chicago",cs.uic.edu,38806.0,id_D0lL1r0AAAAJ,268.0,24.0,55.0,51.0,0.021492490058833368,0.6453092546008209,33.34008723298271
89,+,Mohamed-Slim Alouini,"Professor of Electrical Engineering, King Abdullah University of Science and Technology ( &hellip;",kaust.edu.sa,15292.0,id_HqIyyXcAAAAJ,268.0,10.0,10.0,15.0,0.010122822284721769,0.6915092546008209,35.081603844277126
90,+,Professor Rahim Tafazolli,"University of Surrey, CCSR",surrey.ac.uk,4286.0,id_mmZz29cAAAAJ,266.0,11.0,16.0,16.0,0.013185277024552513,0.6584218721037999,33.58035745641762
91,+,Maxine Sun,"Coï¿½Director of Cancer Prognostics and Health Outcomes Unit, University of Montreal Health &hellip;",umontreal.ca,678.0,id_B-v3OxoAAAAJ,265.0,13.0,26.0,19.0,0.010696936470045602,0.7375781808552894,37.413755866266754
92,+,Devarajan Karunagaran,"Professor of Biotechnology, Indian Institute of Technology Madras",iitm.ac.in,3730.0,id_VFXYuN8AAAAJ,265.0,5.0,2.0,7.0,0.0010781675724591733,0.6847781808552893,34.292817421387426
93,+,Jian Yang,"Professor, Department of Computing, Macquarie University",mq.edu.au,3813.0,id_r5jS8eYAAAAJ,264.0,9.0,9.0,12.0,0.007655914437171816,0.6583344896067788,33.299520202197535
94,+,Dr. HB Kekre,"Sr. Professor, Computer Engg. Dept., MPSTME, NMIMS Deemed to be University",nmims.edu,2754.0,id_oiVHiwcAAAAJ,261.0,31.0,62.0,43.0,0.02342628217356874,0.6846034158612473,35.4014849017408
95,+,Masashi Sugiyama,Tokyo Institute of Technology,cs.titech.ac.jp,2202.0,id_GkYIrlIAAAAJ,260.0,18.0,37.0,27.0,0.014578480716930487,0.6713597246127366,34.29691026648335
96,+,Giuseppe Biondi-Zoccai,Sapienza University of Rome,uniroma1.it,7017.0,id_Y9HjW5oAAAAJ,257.0,27.0,65.0,39.0,0.022496260440475747,0.6514286508672051,33.69624556538404
97,+,Dorin Comaniciu,Siemens Corporate Research,siemens.com,15005.0,id_-XZ2HrAAAAAJ,256.0,13.0,21.0,24.0,0.012340444581098585,0.6513849596186946,33.186270209989665
98,+,Michael McAleer,"Professor of Quantitative Finance, Erasmus University Rotterdam",ese.eur.nl,7257.0,id_pK01jfoAAAAJ,254.0,18.0,32.0,29.0,0.01454254599286279,0.6644975771216735,33.95200615572681
99,+,Ruigang Yang,"Associate Professor of Computer Science, University of Kentucky",cs.uky.edu,5794.0,id_p4cj19UAAAAJ,254.0,14.0,24.0,28.0,0.0118366570129962,0.6644975771216735,33.816711706733486
